"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_gene_id","entrezgene_id"
"1","Khdrbs3",2731.14067388264,2.90187837849617,0.149243280093082,2.46817691171146e-85,3.57836288659927e-81,"ENSMUSG00000022332",13992
"2","Cul3",2596.24678037383,2.20469040597393,0.121752818524134,2.00056997858665e-74,1.45021317747746e-70,"ENSMUSG00000004364",26554
"3","Tada2b",924.277005791196,2.72240575575301,0.153433694827726,1.52610372690956e-71,7.37515061091162e-68,"ENSMUSG00000029196",231151
"4","Egln1",2349.37604988912,2.22939455735063,0.136338782421035,3.01637363812366e-61,1.09328462513792e-57,"ENSMUSG00000031987",112405
"5","Mbd2",1765.72247224819,2.27903900062841,0.139643979139396,5.27057128789229e-61,1.52825485063725e-57,"ENSMUSG00000024513",17191
"6","Foxo6",1966.77729931936,2.43385796014086,0.151134354963617,1.85923251911475e-59,4.49252551035429e-56,"ENSMUSG00000052135",329934
"7","Insm1",4297.55362630693,2.03394191836669,0.131362652545105,3.20476821150133e-55,6.63753279004947e-52,"ENSMUSG00000068154",53626
"8","Ranbp9",2148.34466567671,2.52338555976118,0.167744385195899,2.62725386526892e-52,4.7612408173336e-49,"ENSMUSG00000038546",56705
"9","Heca",712.7062904994,2.54502780545561,0.172147698571838,1.38921557251513e-50,2.23787193003604e-47,"ENSMUSG00000039879",380629
"10","Mark1",1000.17513591031,2.21253079749942,0.150371393107667,3.65219418306334e-50,4.81359193327748e-47,"ENSMUSG00000026620",226778
"11","Ier5l",418.408391711291,2.71460365681608,0.187186496201565,8.9608083032443e-49,1.08261498983697e-45,"ENSMUSG00000089762",72500
"12","Cnnm3",2912.71887972812,2.23398860850375,0.169323243599355,7.55158177418612e-41,8.42175635093464e-38,"ENSMUSG00000001138",94218
"13","Mta1",1229.52727951409,1.79232021152207,0.143153975617544,3.95663776174603e-37,4.097381019271e-34,"ENSMUSG00000021144",116870
"14","Zfpm1",562.022081568558,2.1950884322351,0.175837576073811,6.2498070832009e-37,6.04064687281644e-34,"ENSMUSG00000049577",22761
"15","Znrf2",472.275224729116,3.36762772250294,0.277982389156498,7.74511256916097e-35,7.01804012673099e-32,"ENSMUSG00000058446",387524
"16","Pam",900.274476378641,1.78289581274361,0.155682694093509,1.54320231963472e-31,1.3160792488273e-28,"ENSMUSG00000026335",18484
"17","Fam120a",2459.93849340609,1.5585708674942,0.136732425914963,3.07494864406994e-31,2.47670030231811e-28,"ENSMUSG00000038014",218236
"18","Tshz1",3585.83020345109,1.62609632718563,0.144470429987775,1.52803828537378e-30,1.16597363480785e-27,"ENSMUSG00000046982",110796
"19","Brd1",1549.80458816513,1.84987414883691,0.164952731822869,2.45302869499347e-30,1.77820050100076e-27,"ENSMUSG00000022387",223770
"20","Ube2ql1",1735.92139602681,1.55794905334636,0.142588153266949,5.99507971057837e-29,4.13888884018882e-26,"ENSMUSG00000052981",76980
"21","Git1",4466.26809048445,1.23605721836598,0.116232417910293,1.51578502729045e-27,9.98902332984409e-25,"ENSMUSG00000011877",216963
"22","Osbp",2307.26149418017,1.32322039681413,0.128772991882521,6.49448082501249e-26,4.09378186961005e-23,"ENSMUSG00000024687",76303
"23","Hapln2",1593.44777889703,1.83769388212287,0.190916585614916,4.25994991790127e-23,2.4704301563893e-20,"ENSMUSG00000004894",73940
"24","Masp2",156.706846972256,2.77009279186491,0.28799495417612,4.11699249800822e-23,2.4704301563893e-20,"ENSMUSG00000028979",17175
"25","Usp7",1541.78904001414,1.32935205269158,0.139735372718014,1.31774910708102e-22,7.34797175171561e-20,"ENSMUSG00000022710",252870
"26","Phlpp1",6161.20546954481,1.27950390752974,0.140597561717637,5.47568312008186e-21,2.94023903240544e-18,"ENSMUSG00000044340",98432
"27","Pmepa1",831.093437828213,1.31061998888372,0.144114828242557,6.7122174700476e-21,3.47549031716965e-18,"ENSMUSG00000038400",65112
"28","Mmp24",789.141810631813,1.46877756909256,0.166385514375114,7.42508666435539e-20,3.71203125723533e-17,"ENSMUSG00000027612",17391
"29","Stk11",956.217479596231,-1.54408921070623,0.184200784746409,2.3632856093014e-18,1.14209715878839e-15,"ENSMUSG00000003068",20869
"30","Ppp2cb",2987.09220773175,0.985321192978457,0.117535418425014,4.06774842742335e-18,1.90239408712206e-15,"ENSMUSG00000009630",19053
"31","Itgb4",928.604612167875,1.37621537274891,0.166256017115594,8.51227009488002e-18,3.85659036986158e-15,"ENSMUSG00000020758",192897
"32","Ski",2042.53734318084,1.83623615047637,0.22520507364947,2.40755407893824e-17,1.0577187586802e-14,"ENSMUSG00000029050",20481
"33","Zfp777",1062.77771011976,1.18511101595298,0.1466047200365,4.43289234774654e-17,1.8902374487538e-14,"ENSMUSG00000071477",72306
"34","Fbxl14",1036.84001758056,1.50347823410214,0.18820513062156,9.35216218203396e-17,3.87393278043224e-14,"ENSMUSG00000030019",101358
"35","Pdgfa",705.490641057877,1.32086089199495,0.165543303258434,1.01458091626649e-16,3.885598661839e-14,"ENSMUSG00000025856",18590
"36","Lrp3",3992.47139629304,1.21263768379845,0.151865057137765,1.01843529555719e-16,3.885598661839e-14,"ENSMUSG00000001802",435965
"37","Csnk2a2",227.184875178529,1.91036814028748,0.239491940256352,1.00578553133018e-16,3.885598661839e-14,"ENSMUSG00000046707",13000
"38","Ybx3",2767.26025184293,0.934379877776095,0.118050791022354,2.0073656936625e-16,7.46225328890229e-14,"ENSMUSG00000030189",56449
"39","Chsy1",1028.68177943747,1.18679399914151,0.150312060296666,2.0781604322296e-16,7.53229248661619e-14,"ENSMUSG00000032640",269941
"40","Prr5l",1803.93164856968,0.943332104932308,0.12391693516205,2.14650945401533e-15,7.40954620578911e-13,"ENSMUSG00000032841",72446
"41","Car14",1818.3190249722,0.969256941933215,0.130841854717573,1.00552344156631e-14,3.31319973996099e-12,"ENSMUSG00000038526",23831
"42","Ndrg1",5738.76127737783,0.968343686060983,0.134789926738298,5.34200789388198e-14,1.64783894564896e-11,"ENSMUSG00000005125",17988
"43","Tnfaip6",2271.29291566998,0.922062915980331,0.12823798423421,5.28419896886785e-14,1.64783894564896e-11,"ENSMUSG00000053475",21930
"44","Prss56",798.179727780176,1.42728205391703,0.199901313125015,6.31684118971669e-14,1.86901150139821e-11,"ENSMUSG00000036480",69453
"45","Ppwd1",298.296453564176,-1.53360505171377,0.216246024402682,6.29120040326566e-14,1.86901150139821e-11,"ENSMUSG00000021713",238831
